指出: 指出 
要求: 要求 
监测: 监测 
经得起: 经得起 
创造: 创造 
坚持: 坚持 
修正: 修正 
组织: 组织 
担任: 担任 
改变: 改变 
号召: 号召 
告诉: 告诉 
踏: 踏 
感受: 感受 
积累: 积累 
相约: 相约 
遍及: 遍及 
做出: 做出 
采访: 采访 
破坏: 破坏 
反攻: 反攻 
响应: 响应 
估计: 估计 
少于: 少于 
批准: 批准 
口译: 口译 
震: 震 
借: 借 
可谓: 可谓 
提出: 提出 
进取: 进取 
宣称: 宣称 
开始: 开始 
灭亡: 灭亡 
确定: 确定 
侵略: 侵略 
起草: 起草 
依明治: 依明治 
签订: 签订 
配合: 配合 
危及: 危及 
缓和: 缓和 
所属: 所属 
戴: 戴 
限制: 限制 
封堵: 封堵 
动动: 动动 
点燃: 点燃 
阻止: 阻止 
演示: 演示 
放弃: 放弃 
落水: 落水 
提: 提 
画: 画 
属于: 属于 
听从: 听从 
诉说: 诉说 
俯瞰: 俯瞰 
监督: 监督 
接办: 接办 
端视: 端视 
摆放: 摆放 
开放: 开放 
拂拭: 拂拭 
写道: 写道 
扮成: 扮成 
落发欲: 落发欲 
精通: 精通 
触碰: 触碰 
纠集: 纠集 
总结: 总结 
敬: 敬 
警示: 警示 
定下: 定下 
提供: 提供 
还有: 还有 
施苦: 施苦 
梳理: 梳理 
闯入: 闯入 
保存: 保存 
影响: 影响 
立身: 立身 
供奉: 供奉 
签署: 签署 
展开: 展开 
挖掘: 挖掘 
发源于: 发源于 
合作: 合作 
加快: 加快 
旨在: 旨在 
有利于: 有利于 
容纳: 容纳 
躲开: 躲开 
温暖: 温暖 
热爱: 热爱 
赋予: 赋予 
直言: 直言 
引进: 引进 
迎来: 迎来 
建设: 建设 
落户: 落户 
落地: 落地 
不见: 不见 
淌: 淌 
介绍: 介绍 
引来: 引来 
调整: 调整 
排名: 排名 
孵: 孵 
有望: 有望 
识别: 识别 
补: 补 
作出: 作出 
创新: 创新 
解决: 解决 
荣获: 荣获 
满足: 满足 
预计: 预计 
突破: 突破 
新增: 新增 
部署: 部署 
编织: 编织 
考虑: 考虑 
选用: 选用 
遍布: 遍布 
用于: 用于 
准备: 准备 
够: 够 
接待: 接待 
质疑: 质疑 
出台: 出台 
承包: 承包 
伸出: 伸出 
种植: 种植 
焕发: 焕发 
观光: 观光 
榭尽收: 榭尽收 
增收: 增收 
唱: 唱 
经历: 经历 
列入: 列入 
入选: 入选 
采摘园: 采摘园 
扶贫: 扶贫 
压实: 压实 
营造: 营造 
解读: 解读 
邀请: 邀请 
分享: 分享 
印发: 印发 
感谢: 感谢 
迈出: 迈出 
减灾: 减灾 
会同: 会同 
